loss,root_mean_squared_error,val_loss,val_root_mean_squared_error,lr
191835664.0,13850.4755859375,282130496.0,16796.740234375,0.001
191825104.0,13850.09375,282128960.0,16796.6953125,0.001
191806000.0,13849.404296875,282127328.0,16796.646484375,0.001
191796608.0,13849.0654296875,282125504.0,16796.591796875,0.001
191829296.0,13850.2451171875,282123712.0,16796.5390625,0.001
191835056.0,13850.453125,282122144.0,16796.4921875,0.001
191796928.0,13849.0771484375,282120768.0,16796.451171875,0.001
191808560.0,13849.4970703125,282119264.0,16796.40625,0.001
191809776.0,13849.541015625,282117440.0,16796.3515625,0.001
191791120.0,13848.8671875,282115712.0,16796.30078125,0.001
191815216.0,13849.7373046875,282113952.0,16796.248046875,0.001
191789904.0,13848.8232421875,282112256.0,16796.197265625,0.001
191799728.0,13849.177734375,282110528.0,16796.146484375,0.001
191793600.0,13848.95703125,282108896.0,16796.09765625,0.001
191788672.0,13848.7783203125,282107200.0,16796.046875,0.001
191773808.0,13848.2421875,282105536.0,16795.998046875,0.001
191808384.0,13849.490234375,282103648.0,16795.94140625,0.001
191777472.0,13848.3740234375,282102016.0,16795.892578125,0.001
191779392.0,13848.443359375,282100352.0,16795.84375,0.001
191772800.0,13848.2060546875,282098656.0,16795.79296875,0.001
191800880.0,13849.2197265625,282097024.0,16795.744140625,0.001
191772464.0,13848.193359375,282095264.0,16795.69140625,0.001
191735120.0,13846.8447265625,282093728.0,16795.646484375,0.001
191759488.0,13847.724609375,282092160.0,16795.599609375,0.001
191755376.0,13847.576171875,282090400.0,16795.546875,0.001
191720448.0,13846.3154296875,282088704.0,16795.49609375,0.001
191750912.0,13847.4150390625,282087104.0,16795.44921875,0.001
191779968.0,13848.46484375,282085472.0,16795.400390625,0.001
191720256.0,13846.30859375,282083712.0,16795.34765625,0.001
191703824.0,13845.71484375,282081984.0,16795.296875,0.001
191757008.0,13847.6357421875,282080288.0,16795.24609375,0.001
191721168.0,13846.341796875,282078464.0,16795.19140625,0.001
191761456.0,13847.7958984375,282076672.0,16795.138671875,0.001
191709616.0,13845.923828125,282074848.0,16795.083984375,0.001
191730368.0,13846.673828125,282072928.0,16795.02734375,0.001
191732096.0,13846.736328125,282070976.0,16794.96875,0.001
191742336.0,13847.10546875,282069088.0,16794.912109375,0.001
191738320.0,13846.9609375,282067040.0,16794.8515625,0.001
191704960.0,13845.755859375,282065152.0,16794.794921875,0.001
191711744.0,13846.0009765625,282063360.0,16794.7421875,0.001
191701968.0,13845.6484375,282061472.0,16794.685546875,0.001
191702448.0,13845.6650390625,282059424.0,16794.625,0.001
191709760.0,13845.9296875,282057536.0,16794.568359375,0.001
191725744.0,13846.5068359375,282055616.0,16794.51171875,0.001
191678160.0,13844.7880859375,282053664.0,16794.453125,0.001
191629232.0,13843.021484375,282051552.0,16794.390625,0.001
191718352.0,13846.2392578125,282049376.0,16794.326171875,0.001
191687024.0,13845.1083984375,282047424.0,16794.267578125,0.001
191679872.0,13844.849609375,282045376.0,16794.20703125,0.001
191657808.0,13844.052734375,282042976.0,16794.134765625,0.001
191696208.0,13845.4404296875,282040800.0,16794.0703125,0.001
191711232.0,13845.982421875,282038112.0,16793.990234375,0.001
191649840.0,13843.765625,282035296.0,16793.90625,0.001
191697664.0,13845.4921875,282032864.0,16793.833984375,0.001
191635440.0,13843.2451171875,282030368.0,16793.759765625,0.001
